Gov body,Time of day,Frequency,Livestream,Link to board agenda site,Link to board home page,Notes,County,parseable,agenda-location,agenda-format
Allouez Village Board,6:30 p.m.,1st and 3rd Tuesdays,,https://www.villageofallouezwi.gov/archives/village-board/,https://www.villageofallouezwi.gov/directory/village-of-allouez-board/,They post the meeting audio after the fact,Brown,,,html
Ashwaubenon School Board,6:30 p.m.,2nd Wednesday,,https://www.ashwaubenon.k12.wi.us/about-our-district/school-board/meetings-agendas-and-minutes,https://www.ashwaubenon.k12.wi.us/about-our-district/school-board,,Brown,,,
Ashwaubenon Village Board,5:30 p.m.,4th Tuesday,Yes - on YouTube,https://ashwaubenon.gov/government/departments/clerk/agendas-minutes/,https://ashwaubenon.gov/government/departments/administration/boards-commissions-committees/village-board/,,Brown,,,
Bellevue Village Board,6:30 p.m.,2nd and 4th Wednesdays,,https://www.villageofbellevuewi.gov/government/boards_and_commissions/village_board,https://www.villageofbellevuewi.gov/government/village_board_contacts,,Brown,,,
Brown Co. Board,7 p.m.,3rd Wednesday,,https://www.browncountywi.gov/government/minutes_and_agendas/,https://www.browncountywi.gov/government/county_board/,,Brown,,,
De Pere Common Council,7:30 p.m.,1st and 3rd Tuesdays,Yes,https://deperewi.portal.civicclerk.com/,https://www.deperewi.gov/department/index.php?structureid=3,The livestream their meetings,Brown,,,
De Pere School Board,6 p.m.,1st and 3rd Monday,,https://www.deperek12.org/district/board-of-education/meetings-minutes-agendas,https://www.deperek12.org/district/board-of-education,,Brown,,,
Denmark School Board,6 p.m.,2nd Monday,,https://go.boarddocs.com/wi/den/Board.nsf/Public,https://www.denmark.k12.wi.us/page/board-of-education,,Brown,,,
Denmark Village Board,4:30 p.m.,2nd Monday,,https://www.denmark-wi.org/meetings/,https://www.denmark-wi.org/village-board/,,Brown,y,TownWeb,pdf
Eaton Town Board,6 p.m.,1st Monday,,https://www.eatonbrowncountywi.gov/agendasandminutes,https://www.eatonbrowncountywi.gov/boardandstaff,,Brown,,,
Glenmore Town Board,7:30 p.m.,1st Monday,,https://www.glenmorewisconsin.gov/townmeetings,https://www.glenmorewisconsin.gov/townofficials,They don't seem to post agendas or meeting minutes online regularly,Brown,,,
Green Bay Area Public Schools BoE,6 p.m.,2nd and 4th Mondays,Yes - on YouTube,https://go.boarddocs.com/wi/gbapsd/Board.nsf/Public,https://www.gbaps.org/aboutgbaps/board-of-education,"Working session tends to be 2nd Monday of the month, Regular board meeting on the 4th Monday",Brown,,,
Green Bay City Council,6 p.m.,1st and 3rd Tuesdays,Yes - on YouTube,https://www.greenbaywi.gov/129/Meetings-Agendas-Minutes,https://www.greenbaywi.gov/617/Common-Council,,Brown,,,
Green Bay School Board,6 p.m.,2nd and 4th Mondays,Yes - on YouTube,https://go.boarddocs.com/wi/gbapsd/Board.nsf/Public,https://www.gbaps.org/aboutgbaps/board-of-education,,Brown,,,
Green Bay Town Board,7 p.m.,2nd Tuesday,,https://www.townofgreenbay.com/2026-town-board-documents/,https://www.townofgreenbay.com/officials/elected-officials/,,Brown,,,
Greenleaf Village Board,5:30 p.m.,2nd Wednesday,,https://villageofgreenleaf.org/agendas-minutes/,https://villageofgreenleaf.org/departments/village-board/village-board-staff/,,Brown,,,
Hobart Village Board,6 p.m.,1st and 3rd Tuesdays,,https://www.hobartwi.gov/village-board,https://www.hobartwi.gov/village-board,,Brown,,,
Holland Town Board,6:30 p.m.,1st Wednesday,,https://hollandbrowncountywi.gov/meetings/,https://hollandbrowncountywi.gov/town-board-officers/,,Brown,,,
Howard Village Board,6:30 p.m.,2nd and 4th Mondays,Virtual option available via Zoom,https://www.villageofhoward.com/AgendaCenter,https://www.villageofhoward.com/208/Village-President-Board-of-Trustees,"They livestream on Zoom, not sure if they post the recording anywhere. ",Brown,,,
Howard-Suamico School Board,6 p.m.,2nd and 4th Mondays,,https://drive.google.com/drive/folders/18VYFYNouEmVmfJ4VGiZcpyB1I7nop-Sv,https://www.hssdschools.org/district/board-of-education,,Brown,,,
Humboldt Town Board,7 p.m.,1st Monday,,https://humboldt-wi.gov/agendas-minutes/,https://humboldt-wi.gov/town-board-staff/,,Brown,y,TownWeb,pdf
Lawrence Town Board,6 p.m.,2nd and 4th Monday,,https://www.lawrencewi.gov/egov/apps/document/center.egov?view=browse&eGov_searchTitle=&eGov_searchType=27&eGov_searchDepartment=23&eGov_searchCategory=&eGov_searchTopic=&eGov_searchYear=&eGov_searchSubmit=Search,https://www.lawrencewi.gov/department/division.php?structureid=25,,Brown,,,
Ledgeview Town Board,6 p.m.,1st and 3rd Monday,,https://www.ledgeview.wi.gov/meetings,https://www.ledgeview.wi.gov/town-board,,Brown,,,
Morrison Town Board,7:30 p.m.,2nd Tuesday,,https://townofmorrison.org/agendas-minutes/,https://townofmorrison.org/town-board/,,Brown,y,TownWeb,pdf
New Denmark Town Board,7 p.m.,2nd Monday,,https://townofnewdenmarkwi.gov/agendas-minutes/,https://townofnewdenmarkwi.gov/town-board/,,Brown,y,TownWeb,pdf
Pittsfield Town Board,6 p.m.,2nd Tuesday,,https://townofpittsfield.org/agendas/,https://townofpittsfield.org/town-contacts/,,Brown,,,
Pulaski School Board,6 p.m.,1st and 3rd Wednesdays,Yes - on YouTube,https://www.pulaskischools.org/boe/meetings-agendas,https://www.pulaskischools.org/boe,,Brown,,,
Pulaski Village Board,6 p.m.,1st Monday,,https://www.villageofpulaski.org/government/village_board/agendas_minutes.php#outer-241,https://www.villageofpulaski.org/government/village_board/index.php,They seem to have special meetings every month. ,Brown,,,
Rockland Town Board,7 p.m.,1st and 3rd Monday,,https://www.rocklandbrownwi.gov/agendas,https://www.rocklandbrownwi.gov/board,,Brown,,,
Scott Town Board,5:30 p.m.,2nd Tuesday,,https://www.townofscott.com/agendas-minutes/,https://www.townofscott.com/elected-officials/,,Brown,,,
Suamico Village Board,6 p.m.,1st and 3rd Mondays,Yes - on YouTube,https://www.suamico.org/government/agendas_minutes_and_packets.php,https://www.suamico.org/government/village_board/index.php,,Brown,,,
West De Pere School Board,5:30 p.m.,3rd Tuesday,,https://www.wdpsd.com/district/board-meetings.cfm,https://www.wdpsd.com/district/board-of-education.cfm,,Brown,,,
Wrightstown School Board,6 p.m.,1st Wednesday,,https://go.boarddocs.com/wi/wrightstown/Board.nsf/Public,https://www.wrightstown.k12.wi.us/board,,Brown,,,
Wrightstown Town Board,6:30 p.m.,2nd Wednesday,,https://villageofgreenleaf.org/agendas-minutes/,https://villageofgreenleaf.org/town-board-staff/,,Brown,,,
Wrightstown Village Board,6 p.m.,1st and 3rd Tuesdays,,https://www.wrightstown.us/documents/departments/clerk-%2F-treasurer/agenda-archives/2026-agendas/866061,https://www.wrightstown.us/page/administration,,Brown,,,
Appleton Common Council,7 p.m.,1st and 3rd Wednesdays,,https://cityofappleton.legistar.com/DepartmentDetail.aspx?ID=21236&GUID=5195F776-2598-4DA1-AEC9-17332BBCE3AC&Mode=MainBody,https://www.appletonwi.gov/government/common_council.php,,Outagamie,,,
Appleton School Board,6 p.m.,2nd and 4th Mondays,Yes,https://www.aasd.k12.wi.us/district/leadership/board-of-education,https://www.aasd.k12.wi.us/district/leadership/board-of-education,Scroll down on Board main page for agendas and minutes; Scroll down on the agenda page for info on livestream,Outagamie,,,
Bear Creek Village Board,7 p.m.,2nd Monday,,https://www.villageofbearcreek.net/agendas-minutes/,https://villageofbearcreek.net/village-board/,,Outagamie,y,TownWeb,pdf
Black Creek Town Board,7 p.m.,2nd Monday,,https://www.blackcreekwi.org/agendas-minutes/,https://www.blackcreekwi.org/town-contacts/,,Outagamie,,,
Black Creek Village Board,6:30 p.m.,2nd Monday,,https://www.villageofblackcreek.com/agendas-minutes/,https://villageofblackcreek.com/staff-directory/,,Outagamie,y,TownWeb,pdf
Bovina Town Board,4 or 5 p.m.,Varies,,https://tn.bovina.wi.gov/agendas-minutes/,,,Outagamie,y,TownWeb,pdf
Buchanan Town Board,6 p.m.,3rd Tuesday,Yes - see agenda link,https://www.townofbuchanan.org/your-government/agendas-minutes,https://www.townofbuchanan.org/your-government/town-board,,Outagamie,,,
Center Town Board,7 p.m.,2nd Monday,,https://centerwi.gov/agendas-minutes/,https://centerwi.gov/departments/town-board/,,Outagamie,y,TownWeb,pdf
Cicero Town Board,7 p.m.,2nd Tuesday,,https://townofcicerowi.com/agendas-minutes/,https://townofcicerowi.com/town-contacts/,,Outagamie,y,TownWeb,pdf
Clintonville School Board,6 p.m.,2nd and 4th Mondays,,https://drive.google.com/drive/folders/19tJ4JvKAx_eGt9FDo2jCdR-4Ty8zfVm1,https://www.clintonville.k12.wi.us/page/board-of-education,,Outagamie,,,
Combined Locks Village Board,6:30 p.m.,1st and 3rd Tuesdays,,https://www.combinedlocks.wi.gov/alphabetical-quick-list/minutes-agendas/,https://www.combinedlocks.wi.gov/village-board/,,Outagamie,,,
Dale Town Board,7 p.m.,1st Monday,,https://townofdale.org/agendas-minutes/,https://townofdale.org/town-board/,,Outagamie,,,
Deer Creek Town Board,8 p.m.,2nd Tuesday,,https://townofdeercreek.com/agendas-minutes/,https://townofdeercreek.com/town-board-staff/,,Outagamie,,,
Ellington Town Board,6 p.m.,2nd and 4th Wednesday,,https://townofellington.wi.gov/agendasandminutes,https://townofellington.wi.gov/board,,Outagamie,,,
Fox Crossing Village Board,6 p.m.,2nd and 4th Mondays,,https://foxcrossingwi.gov/government/minutes-and-agendas/,https://foxcrossingwi.gov/government/village-board/,,Outagamie,,,
Freedom School Board,6:30 p.m.,3rd Monday,,https://www.freedomschools.k12.wi.us/district/board-meeting-agendas-25-26.cfm,https://www.freedomschools.k12.wi.us/district/board-of-education.cfm,,Outagamie,,,
Freedom Town Board,6 p.m.,4th Wednesday,,https://townoffreedomocwi.gov/town-board,https://townoffreedomocwi.gov/town-board,Scroll down to find the agendas,Outagamie,,,
Grand Chute Town Board,6:30 p.m.,1st and 3rd Tuesdays,,https://www.grandchutewi.gov/government/minutes_and_agendas/agendas/?commission=town-board,https://www.grandchutewi.gov/government/boards_and_commissions/,,Outagamie,,,
Greenville Village Board,5 p.m.,2nd and 4th Mondays,,https://www.townofgreenville.com/government/agendas_and_minutes.php,https://www.townofgreenville.com/government/boards_and_commissions.php,Scroll all the way down the list of committee meetings to get to Village Board,Outagamie,,,
Harrison Village Board,6 p.m.,2nd and 4th Tuesdays,,https://www.harrison.wi.gov/meetings,https://www.harrison.wi.gov/village-board,,Outagamie,,,
Hortonia Town Board,7 p.m.,3rd Tuesday,,https://www.townofhortonia.org/,https://www.townofhortonia.org/town-board,,Outagamie,,,
Hortonville School Board,7 p.m.,2nd and 4th Monday,,https://www.hasd.org/district/agendas.cfm,https://www.hasd.org/district/board-of-education.cfm,,Outagamie,,,
Hortonville Village Board,6 p.m.,1st and 3rd Thursday,,https://www.hortonvillewi.org/meetings/,https://www.hortonvillewi.org/village-board-and-committees/,,Outagamie,y,TownWeb,pdf
Howard Village Board,6:30 p.m.,2nd and 4th Mondays,,https://www.villageofhoward.com/AgendaCenter,https://www.villageofhoward.com/208/Village-President-Board-of-Trustees,,Outagamie,,,
Kaukauna Common Council,7 p.m.,1st and 3rd Tuesdays,,https://kaukauna-wi.municodemeetings.com/,https://www.kaukauna.gov/common-council/,,Outagamie,,,
Kaukauna School Board,5:30 p.m.,2nd and 4th Monday,,https://go.boarddocs.com/wi/kasd/Board.nsf/Public,https://www.kaukauna.k12.wi.us/district/board-of-education,,Outagamie,,,
Kaukauna Town Board,6:30 p.m.,2nd Monday,,https://townofkaukauna.com/agenda-%26-meeting-minutes,https://townofkaukauna.com/town-board,,Outagamie,,,
Kimberly School Board,6:30 p.m.,2nd and 4th Mondays,,https://go.boarddocs.com/wi/kasdwi/Board.nsf/Public,https://www.kimberly.k12.wi.us/departments/boe,,Outagamie,,,
Kimberly Village Board,5 p.m.,1st and 3rd Mondays,,https://www.vokimberlywi.gov/government/agenda-meeting-minutes/village-board/,https://www.vokimberlywi.gov/government/village-board-of-trustees/,,Outagamie,,,
Liberty Town Board,6 p.m.,2nd Wednesday,,https://townoflibertyocwi.gov/document-category/agendas/,https://townoflibertyocwi.gov/people/,,Outagamie,,,
Little Chute School Board,4:30 p.m.,2nd and 4th Mondays,,https://sites.google.com/littlechute.k12.wi.us/lcasdschoolboard/agendas/2025-2026-agendas?authuser=0,https://sites.google.com/littlechute.k12.wi.us/lcasdschoolboard/home,,Outagamie,,,
Little Chute Village Board,6 p.m.,1st and 3rd Wednesdays,,https://www.littlechutewi.org/Archive.aspx?AMID=30,https://www.littlechutewi.org/59/Meet-the-Village-Board,,Outagamie,,,
Maine Town Board,6:30 p.m.,2nd Monday,,https://townofmaineoutagamie.com/meetings/,https://townofmaineoutagamie.com/town-contacts/,,Outagamie,y,TownWeb,pdf
Maple Creek Town Board,6:30 p.m.,2nd Monday,,http://www.townofmaplecreek.com/meeting-items.html,http://www.townofmaplecreek.com/the-board.html,,Outagamie,,,
New London Common Council,6:30 p.m.,3rd Tuesday,,https://www.newlondonwi.org/departments/council.php,https://www.newlondonwi.org/elected_mayor_and_council/index.php,,Outagamie,,,
New London School Board,6 p.m.,2nd Monday,Yes - on YouTube,https://docs.google.com/document/d/e/2PACX-1vSm-ZfKT6DtL4DkK_2Ob9btmvhdLBrE3R0FLEg5YUbdh_MEGyr_VFFRPozC0rwL4rbBP3nxN2ALwuHU/pub,https://www.newlondon.k12.wi.us/district/boardofeducation.cfm,,Outagamie,,,
Nichols Village Board,6:30 p.m.,2nd Tuesday,,https://www.villageofnichols.com/agendas-minutes/,https://www.villageofnichols.com/village-officials/,,Outagamie,,,
Oneida Town Board,7 p.m.,2nd Wednesday,,https://www.townofoneida.org/town-board,https://www.townofoneida.org/town-board,Scroll down to see the latest agenda,Outagamie,,,
Osborn Town Board,6:30 p.m.,2nd Monday,,https://townofosborn.com/meetings/,https://townofosborn.com/town-contacts/,,Outagamie,y,TownWeb,pdf
Outagamie County Board,7 p.m.,2nd and 4th Tuesday,,https://www.outagamie.gov/Our-County/County-Clerk/County-Board-Information/Current-Year-County-Board-Packets,https://www.outagamie.gov/County-Board/County-Board-of-Supervisors,,Outagamie,,,
Pulaski School Board,6 p.m.,1st and 3rd Wednesdays,Yes - on YouTube,https://www.pulaskischools.org/boe/meetings-agendas,https://www.pulaskischools.org/boe,,Outagamie,,,
Seymour Common Council,6 p.m.,2nd and 4th Mondays,,https://www.cityofseymourwi.org/agendasminutes,https://www.cityofseymourwi.org/index.asp?SEC=853ED83E-6306-4F5A-B8A7-257C8160AD67,,Outagamie,,,
Seymour School Board,6:30 p.m.,4th Tuesday,,https://go.boarddocs.com/wi/seymour/Board.nsf/Public,https://www.seymour.k12.wi.us/district/school-board.cfm,,Outagamie,,,
Seymour Town Board,6 p.m.,2nd Thursday,,https://www.townofseymour-outagamie.com/meetings/,https://www.townofseymour-outagamie.com/contacts/,,Outagamie,y,TownWeb,pdf
Shiocton School Board,6 p.m.,1st and 3rd Mondays,,https://www.shiocton.k12.wi.us/district/2025-2026-board-agendas.cfm,https://www.shiocton.k12.wi.us/district/school_board.cfm,,Outagamie,,,
Shiocton Village Board,6 p.m.,2nd Monday,,https://www.shiocton.org/clerk-treasurer/agendas/,https://www.shiocton.org/village-trustees-committees/,,Outagamie,,,
Vandenbroek Town Board,5 p.m.,2nd Wednesday,,https://vandenbroekwi.gov/2026-agenda-%26-minutes#e9440105-0574-4e0d-be0b-97d9cc6d0f38,https://vandenbroekwi.gov/town-board-1,,Outagamie,,,
West De Pere School Board,5:30 p.m.,3rd Tuesday,,https://www.wdpsd.com/district/board-meetings.cfm,https://www.wdpsd.com/district/board-of-education.cfm,,Outagamie,,,
Wrightstown School Board,6 p.m.,1st Wednesday,,https://go.boarddocs.com/wi/wrightstown/Board.nsf/Public,https://www.wrightstown.k12.wi.us/board,,Outagamie,,,
Wrightstown Village Board,6 p.m.,1st and 3rd Tuesdays,,https://www.wrightstown.us/o/vow/page/agendas,https://www.wrightstown.us/page/contact,,Outagamie,,,
Winchester Town Board,7 p.m.,1st and 3rd Monday,,https://townofwinchesterwi.gov/agendas-minutes/#town-board,https://townofwinchesterwi.gov/town-board/,,Winnebago,y,TownWeb,pdf
Menasha Common Council,6 p.m.,1st and 3rd Monday,,https://menashawi.portal.civicclerk.com/,https://www.menashawi.gov/residents/government/common_council/index.php,,Winnebago,,,
Winneconne School Board,6:30 p.m.,1st and 3rd Monday,,https://www.winneconne.k12.wi.us/district/school_board/agenda,https://www.winneconne.k12.wi.us/district/school_board/members,,Winnebago,,,
Omro Common Council,7 p.m.,1st and 3rd Tuesday,,https://omrocitywi.iqm2.com/Citizens/Default.aspx,https://www.omro-wi.com/city-council,,Winnebago,,,
Neenah School Board,6 p.m.,1st and 3rd Tuesday,Yes - on Google Meet,https://go.boarddocs.com/wi/neenah/Board.nsf/Public,https://www.neenah.k12.wi.us/about/board-of-education,,Winnebago,,,
Clayton Town Board,6:30 p.m.,1st and 3rd Wednesday,,https://www.townofclayton.net/meetings,https://www.townofclayton.net/town-board-supervisors,,Winnebago,,,
Appleton Common Council,7 p.m.,1st and 3rd Wednesday,,https://cityofappleton.legistar.com/Calendar.aspx,https://appletonwi.gov/government/common_council.php,,Winnebago,,,
Neenah Common Council,6 p.m.,1st and 3rd Wednesday,,https://www2.ci.neenah.wi.us/committees.nsf/SimpleMonthly?OpenView&RestrictToCategory=2026-04,https://www.ci.neenah.wi.us/common-council/,,Winnebago,,,
Rushford Town Board,7 p.m.,1st Wednesday,,http://www.townofrushford.org/agendas/index.html,http://www.townofrushford.org/contactus/index.htm,,Winnebago,,,
Neenah Town Board,7 p.m.,2nd and 4th Monday,,https://townofneenah.com/agendas-minutes-2/,https://townofneenah.com/town-board/,,Winnebago,,,
Oshkosh Town Board,7 p.m.,2nd and 4th Monday,,https://www.townofoshkosh.com/agendas-minutes/,https://www.townofoshkosh.com/town-board-members/,,Winnebago,y,TownWeb,pdf
Fox Crossing Village Board,6 p.m.,2nd and 4th Monday,,https://foxcrossingwi.gov/government/minutes-and-agendas/,https://foxcrossingwi.gov/government/village-board/,,Winnebago,,,
Menasha School Board,6:15 p.m.,2nd and 4th Monday,,https://go.boarddocs.com/wi/mjsd/Board.nsf/Public,https://www.mjsd.k12.wi.us/district/board.cfm,,Winnebago,,,
Appleton School Board,6 p.m.,2nd and 4th Mondays,Yes,https://www.aasd.k12.wi.us/district/leadership/board-of-education,https://www.aasd.k12.wi.us/district/leadership/board-of-education,Scroll down on Board main page for agendas and minutes; Scroll down on the agenda page for info on livestream,Winnebago,,,
Oshkosh Common Council,6 p.m.,2nd and 4th Tuesday,,https://www.oshkoshwi.gov/CityCouncil/Agenda.aspx,https://www.oshkoshwi.gov/CityCouncil/,,Winnebago,,,
Oshkosh School Board,6 p.m.,2nd and 4th Wednesday,Yes - on YouTube,2025-26 Board Meetings,https://www.oshkosh.k12.wi.us/board/board-members,,Winnebago,,,
Black Wolf Town Board,7 p.m.,2nd Monday,,https://townofblackwolf.com/departments/town-board/,https://townofblackwolf.com/departments/town-board/,Scroll down to see the town board members,Winnebago,,,
Utica Town Board,6 p.m.,2nd Monday,,https://townofuticawi.gov/agendas-minutes/,https://townofuticawi.gov/town-board-staff/town-board-members/,,Winnebago,y,TownWeb,pdf
Vinland Town Board,7 p.m.,2nd Monday,,https://townofvinlandwi.gov/agendas-minutes/,https://townofvinlandwi.gov/town-board-staff/,,Winnebago,,,
New London School Board,6 p.m.,2nd Wednesday,Yes - on YouTube,https://docs.google.com/document/d/e/2PACX-1vSm-ZfKT6DtL4DkK_2Ob9btmvhdLBrE3R0FLEg5YUbdh_MEGyr_VFFRPozC0rwL4rbBP3nxN2ALwuHU/pub,https://www.newlondon.k12.wi.us/district/boardofeducation.cfm,,Winnebago,,,
Omro School Board,6 p.m.,2nd Wednesday,,https://www.omro.k12.wi.us/o/sdo/page/board-meetings,https://www.omro.k12.wi.us/page/school-board,,Winnebago,,,
Nekimi Town Board,7 p.m.,3rd Monday,,https://www.townofnekimi.com/agendas-minutes/,https://www.townofnekimi.com/town-board/,"They post the agendas for upcoming meetings under the ""News and Notices"" section on the homepage",Winnebago,y,TownWeb,pdf
Nepeuskun Town Board,7 p.m.,3rd Monday,,https://townofnepeuskun.gov/agendas-minutes/,https://townofnepeuskun.gov/directory/,,Winnebago,,,
Omro Town Board,6 p.m.,3rd Monday,,https://www.townofomro.gov/agendasandminutes,https://www.townofomro.gov/townboard,,Winnebago,,,
Ripon School Board,6 p.m.,3rd Monday,,https://riponpublic.ic-board.com/,https://riponwi.cms4schools.net/board/members.cfm,,Winnebago,,,
Rosendale-Brandon School Board,7 p.m.,3rd Monday,,https://rbsdwi.cms4schools.net/district/meeting-packets.cfm,,,Winnebago,,,
Winneconne Town Board,6:30 p.m.,3rd Thursday,,https://townofwinneconne.gov/agendas-minutes/,https://townofwinneconne.gov/town-officials/,,Winnebago,y,TownWeb,pdf
Winneconne Village Board,5:30 p.m.,3rd Tuesday,,https://www.winneconnewi.gov/your_government/agendas___minutes/village_board.php,https://www.winneconnewi.gov/your_government/village_board.php,,Winnebago,,,
Algoma Town Board,6 p.m.,3rd Wednesday,,https://townofalgomawi.gov/agendas-minutes/,https://townofalgomawi.gov/town-boards/#town-board,,Winnebago,y,TownWeb,pdf
Poygan Town Board,7 p.m.,3rd Wednesday,,https://townofpoygan.com/agendas-minutes/,https://townofpoygan.com/town-board/,,Winnebago,y,TownWeb,pdf
Berlin School Board,7 p.m.,3rd Wednesday,Yes - on YouTube,https://berlinareaschooldistrictwi.sites.thrillshare.com/documents/district/school-board-information/meeting-agendas/2025-2026-agendas/849540,https://www.berlin.k12.wi.us/page/school-board-information,,Winnebago,,,
Wolf River Town Board,7 p.m.,4th Monday,,https://townofwolfriver.com/agendas-minutes/#town-board,https://townofwolfriver.com/town-board/,,Winnebago,,,
Weyauwega-Fremont School Board,6 p.m.,4th Monday,,https://www.wegafremont.k12.wi.us/page/boeagendas,https://www.wegafremont.k12.wi.us/page/board-members,,Winnebago,,,
Winnebago County Board,6 p.m.,Usually 3rd Tuesday,Yes - on YouTube,https://winnebagocowi.portal.civicclerk.com/?category_id=26,https://www.winnebagocountywi.gov/703/County-Board-of-Supervisors,Link to Board meeting sched / ,Winnebago,,,
Amberg Town Board,6 p.m.,2nd Tuesday,,https://tn.amberg.wi.gov/meetings/,https://tn.amberg.wi.gov/board-members/,,Marinette,y,TownWeb,pdf
Athelstane Town Board,7 p.m.,2nd Tuesday,,,https://athelstanewi.com/,They post the minutes from their previous town meeting on the homepage. I didn't see any agendas,Marinette,,,
Beaver Town Board,6:30 p.m.,2nd Monday,,https://townofbeaver.org/index.php/meeting-agendas,https://townofbeaver.org/index.php/town-board-members,,Marinette,,,
Beecher Town Board,6 p.m.,2nd Tuesday,,https://townofbeecher.com/index.php/agendas,https://townofbeecher.com/index.php/town-officials,,Marinette,,,
Beecher-Dunbar-Pembine School Board,6 p.m.,4th Wednesday,,https://drive.google.com/drive/folders/1NJrLFShlWuMZlB12mOPfjgLiRiAbv0FK,https://www.pembine.k12.wi.us/312186_2,No agendas posted in 2026,Marinette,,,
Coleman School Board,6 p.m.,3rd Monday,,https://drive.google.com/drive/folders/12kNywoSHkYnE7DkDkF4FXShvMp9p0i-g,https://www.coleman.k12.wi.us/en-US/school-board-822c7233,Schedule for board meeting dates is on board home page,Marinette,,,
Coleman Village Board,6 p.m.,2nd Monday,,https://villageofcoleman.com/current-meeting-agendas/,https://villageofcoleman.com/board-members/,Agenda for March meeting was not posted on 4/2,Marinette,,,
Crivitz School Board,6 p.m.,3rd Wednesday,,https://www.crivitz.k12.wi.us/board-of-education/agendas/2025-26-board-agendas,https://www.crivitz.k12.wi.us/board-of-education/board-members,Audio available after the fact,Marinette,,,
Crivitz Village Board,6 p.m.,4th Wednesday,,https://www.villageofcrivitz.com/s-projects-side-by-side-1,https://www.villageofcrivitz.com/team-1,"Agendas are under the ""Notices"" page, not the ""Agendas"" page",Marinette,,,
Dunbar Town Board,6 p.m.,2nd Tuesday,,https://townofdunbar.com/meetings.htm,https://townofdunbar.com/townadministrators.htm,"The homepage says agendas are posted at the site I linked, but I only see meeting minutes from an inconsistent scattering of dates. ",Marinette,,,
Goodman Town Board,6:30 p.m.,3rd Monday,,https://townofgoodman.com/meetings/,https://townofgoodman.com/town-board/,,Marinette,y,TownWeb,pdf
Goodman-Armstrong School Board,6 p.m.,4th Wednesday,,https://www.goodman.k12.wi.us/page/school-board-agendas-and-minutes,No public listing of board members on the website that I could easily find,,Marinette,,,
Grover Town Board,6:30 p.m.,1st Wednesday,,https://www.townofgroverwi.com/government/agendas-and-minutes/,https://www.townofgroverwi.com/government/town-board/,,Marinette,,,
Lake Town Board,6 p.m.,2nd Monday,,https://townoflakewi.com/index.php/meeting-agendas,https://townoflakewi.com/index.php/town-officials,,Marinette,,,
Marinette Common Council,5 p.m.,1st Tuesday,,https://www.marinette.wi.us/AgendaCenter,https://www.marinette.wi.us/207/Common-Council,,Marinette,,,
Marinette County Board,9 a.m.,4th Tuesday,,https://www.marinettecountywi.gov/minutes_and_agendas/agendas/?committee=general,https://www.marinettecountywi.gov/county_board/,Find the schedule for the 2026 board meetings on the last page of this PDF,Marinette,,,
Marinette School Board,6 p.m.,3rd Tuesday,,https://drive.google.com/drive/folders/0B0Cf2wKh_FkqfnF6ekl1N0k4MjZYM3FVUDY5dWwxSF9lSXhhQmtEemJBMkxUOWhjQWhqMUE?resourcekey=0-zjw_dd5HsRWbiJbNaOLUZg,https://www.marinette.k12.wi.us/district/board-of-education,,Marinette,,,
Middle Inlet Town Board,6:30 p.m.,2nd Thursday,,https://townofmiddleinletwi.gov/agendasandminutes,https://townofmiddleinletwi.gov/electedofficials,,Marinette,,,
Niagara Common Council,5 p.m.,4th Wednesday,,https://www.cityofniagara.org/2026.html,https://www.cityofniagara.org/citygovernmentcourt/directory.html,,Marinette,,,
