Gov body,Time of day,Frequency,Livestream,Link to board agenda site,Link to board home page,Notes,County,parseable,agenda-location,agenda-format
Shawano School Board,4:30 or 5 p.m.,4th Monday,,https://shawanoschools.community.highbond.com/Portal/MeetingInformation.aspx?Id=298,https://shawanoschools.community.highbond.com/portal/members.aspx?id=16,,Shawano,,,
Tigergton School Board,7 p.m.,3rd Monday,,https://www.tigerton.k12.wi.us/school-board-agendas,https://www.tigerton.k12.wi.us/school-board-members,,Shawano,,,
Wittenberg-Birnamwood School Board,6 p.m.,4th Monday,,https://www.wittbirn.k12.wi.us/district/meetingminutes.cfm,https://www.wittbirn.k12.wi.us/district/school-board.cfm,,Shawano,,,
Calumet County Board,6 p.m.,3rd Tuesday,Yes - link here,https://www.co.calumet.wi.us/agendacenter,https://www.co.calumet.wi.us/243/County-Board-of-Supervisors,,Calumet,,,
Appleton Common Council,7 p.m.,1st and 3rd Wednesdays,,https://cityofappleton.legistar.com/DepartmentDetail.aspx?ID=21236&GUID=5195F776-2598-4DA1-AEC9-17332BBCE3AC&Mode=MainBody,https://www.appletonwi.gov/government/common_council.php,,Calumet,,,
Brillion Common Council,6:30 p.m.,4th Monday,,https://www.brillionwi.gov/agendas,https://www.brillionwi.gov/city-council,,Calumet,,,
Chilton Common Council,6:30 p.m.,1st and 3rd Tuesdays,,https://chiltonwi.gov/index.asp?SEC=13D207FE-84FA-4A72-B367-611EB3481D82,https://chiltonwi.gov/common-council,,Calumet,,,
Kaukauna Common Council,7 p.m.,1st and 3rd Tuesdays,,https://kaukauna-wi.municodemeetings.com/,https://www.kaukauna.gov/common-council/,,Calumet,,,
Kiel Common Council,6 p.m.,2nd and 4th Tuesdays,,https://www.kielwi.gov/city-council-meetings,https://www.kielwi.gov/officials,,Calumet,,,
Menasha Common Council,6 p.m.,1st and 3rd Monday,,https://menashawi.portal.civicclerk.com/,https://www.menashawi.gov/residents/government/common_council/index.php,,Calumet,,,
New Holstein Common Council,6:15 p.m.,3rd Wednesday,,https://cityofnewholstein.org/agendas-minutes/,https://cityofnewholstein.org/elected-officials/,,Calumet,y,TownWeb,pdf
Harrison Village Board,6 p.m.,4th Tuesday,,https://www.harrison.wi.gov/meetings,https://www.harrison.wi.gov/village-board,,Calumet,,,
Hilbert Village Board,6 p.m.,2nd Tuesday,,https://villageofhilbert.com/meeting_notices.php,https://villageofhilbert.com/village_board.php,,Calumet,,,
Potter Village Board,5:30 p.m.,2nd Monday,,https://villageofpotter.com/agenda-minutes.php,https://villageofpotter.com/officials.php,,Calumet,,,
Sherwood Village Board,6 p.m.,2nd and 4th Monday,,https://www.sherwoodwi.gov/index.asp?SEC={2FE083DA-C548-48DC-96BC-6A33A9DE436B},https://www.sherwoodwi.gov/index.asp?SEC=51ADFF36-211B-43B4-B91F-A5B8A5EEBF89,,Calumet,,,
Stockbridge Village Board,6 p.m.,1st Wednesday,,https://villageofstockbridgewi.gov/agendas-minutes/,https://villageofstockbridgewi.gov/village-officials/,,Calumet,y,TownWeb,pdf
Brillion Town Board,7 p.m.,2nd Tuesday,,https://townofbrillionwi.gov/agendas-minutes/,https://townofbrillionwi.gov/town-board-staff/,,Calumet,y,TownWeb,pdf
Brothertown Town Board,7 p.m.,1st Tuesday,,https://townofbrothertown.com/agendas-minutes/,https://townofbrothertown.com/town-board-staff/,,Calumet,y,TownWeb,pdf
Charlestown Town Board,7 p.m.,2nd Wednesday,,https://townofcharlestown.com/agendas-minutes/,https://townofcharlestown.com/town-contacts/,,Calumet,y,TownWeb,pdf
Chilton Town Board,6 p.m.,2nd Monday,,https://townofchiltonwi.gov/agendas-minutes/,https://townofchiltonwi.gov/town-board-staff/,,Calumet,,,
New Holstein Town Board,6 p.m.,2nd Wednesday,,https://www.townofnewholstein.com/agendas-and-minutes.php,https://www.townofnewholstein.com/town-officials-and-contacts.php,,Calumet,,,
Rantoul Town Board,6:30 p.m.,2nd Monday,,https://townofrantoul.com/agendas-minutes/,https://townofrantoul.com/town-board/,,Calumet,y,TownWeb,pdf
Stockbridge Town Board,7 p.m.,2nd Wednesday,,https://townofstockbridge.gov/agendas-minutes-notices/,https://townofstockbridge.gov/town-officials/,,Calumet,,,
Woodville Town Board,7 p.m.,1st Monday,,https://townofwoodvillewi.gov/agendas-minutes/,https://townofwoodvillewi.gov/town-board-staff/,,Calumet,y,TownWeb,pdf
Appleton School Board,6 p.m.,2nd and 4th Mondays,Yes,https://www.aasd.k12.wi.us/district/leadership/board-of-education,https://www.aasd.k12.wi.us/district/leadership/board-of-education,Scroll down on Board main page for agendas and minutes; Scroll down on the agenda page for info on livestream,Calumet,,,
